Wavelength(nm),Abs,PL
187.928,-0.2,
188.405,-0.2,
188.882,-0.2,
189.359,0.43,
189.835,0,
190.312,-0.08,
190.789,0,
191.265,0.18,
191.742,0,
192.219,-0.27,
192.695,0.04,
193.172,-0.42,
193.648,-0.2,
194.125,-0.35,
194.601,0,
195.077,1.35,
195.554,-0.1,
196.03,-0.82,
196.506,0,
196.983,0,
197.459,0,
197.935,-0.34,
198.411,-0.42,
198.887,0,
199.363,0,
199.839,0,
200.315,0.46,
200.791,-0.89,
201.267,0.15,
201.743,0.27,
202.219,0.23,
202.695,0.09,
203.171,-0.09,
203.647,0.17,
204.122,0.07,
204.598,0.2,
205.074,0,
205.549,-0.11,
206.025,0.47,
206.501,-0.25,
206.976,0.03,
207.452,0.08,
207.927,-1.57,
208.402,0.38,
208.878,0,
209.353,0.01,
209.829,0.72,
210.304,0.21,
210.779,-0.23,
211.254,0.06,
211.73,0.51,
212.205,-0.39,
212.68,0.81,
213.155,0.35,
213.63,0,
214.105,0.47,
214.58,0,
215.055,0,
215.53,0.13,
216.005,-0.26,
216.48,0.16,
216.954,0.53,
217.429,0.64,
217.904,0,
218.379,0.51,
218.853,-0.04,
219.328,-0.33,
219.803,0.85,
220.277,0,
220.752,0,
221.226,-0.24,
221.701,-0.98,
222.175,-0.7,
222.65,0.07,
223.124,0.28,
223.598,0.08,
224.073,0.66,
224.547,-0.01,
225.021,0.43,
225.495,0,
225.97,0.72,
226.444,0.39,
226.918,-0.16,
227.392,0.14,
227.866,0.34,
228.34,0,
228.814,0.25,
229.288,0.21,
229.762,0,
230.236,1.16,
230.71,-0.27,
231.183,-0.29,
231.657,0.4,
232.131,0,
232.605,0,
233.078,0.39,
233.552,0.4,
234.026,0.54,
234.499,0.14,
234.973,0,
235.446,0.24,
235.92,0,
236.393,0.64,
236.867,-0.11,
237.34,0.57,
237.813,0,
238.287,0.09,
238.76,0.11,
239.233,-1.07,
239.706,0,
240.179,0,
240.653,0.08,
241.126,-0.15,
241.599,0.51,
242.072,-0.57,
242.545,0,
243.018,-0.12,
243.491,-0.47,
243.964,-0.23,
244.437,0.35,
244.909,-0.28,
245.382,0.14,
245.855,0,
246.328,0.13,
246.8,-0.1,
247.273,0,
247.746,0,
248.218,0,
248.691,-0.09,
249.163,-0.19,
249.636,0.12,
250.108,0.69,
250.581,0.66,
251.053,-0.07,
251.526,0.79,
251.998,0,
252.47,0,
252.943,-0.04,
253.415,0,
253.887,0,
254.359,1.06,
254.831,0.02,
255.304,0,
255.776,0,
256.248,0.4,
256.72,0.13,
257.192,0.86,
257.664,0,
258.136,0.19,
258.607,-0.02,
259.079,0.3,
259.551,0,
260.023,0.08,
260.495,0.59,
260.966,0.2,
261.438,0.1,
261.91,0,
262.381,0,
262.853,0.11,
263.325,0.58,
263.796,0.8,
264.268,0,
264.739,0.7,
265.21,-0.26,
265.682,0,
266.153,0,
266.624,0.27,
267.096,0.3,
267.567,0,
268.038,0,
268.509,0.24,
268.981,0.55,
269.452,0.52,
269.923,1.75,
270.394,0.36,
270.865,-0.12,
271.336,0.73,
271.807,0,
272.278,0.3,
272.749,-0.01,
273.22,0.64,
273.69,1.05,
274.161,0.16,
274.632,0.14,
275.103,0,
275.574,0,
276.044,0.8,
276.515,0.09,
276.985,0.59,
277.456,1.31,
277.927,0,
278.397,-0.7,
278.868,0.42,
279.338,0,
279.808,0.21,
280.279,0.29,
280.749,0,
281.219,0,
281.69,-1.28,
282.16,0,
282.63,0.01,
283.1,0,
283.571,0.35,
284.041,0.38,
284.511,0.33,
284.981,0.57,
285.451,0,
285.921,0.38,
286.391,0.04,
286.861,0.19,
287.331,2.11,
287.8,0.61,
288.27,0,
288.74,0.08,
289.21,0.3,
289.68,0.47,
290.149,0.47,
290.619,0.01,
291.089,0.43,
291.558,0,
292.028,2.17,
292.497,0.34,
292.967,0.64,
293.436,1.35,
293.906,1.29,
294.375,0.8,
294.845,0.6,
295.314,1.21,
295.783,0.8,
296.253,0.81,
296.722,0.88,
297.191,1.26,
297.66,0,
298.129,1.34,
298.598,1.3,
299.068,0,
299.537,0,
300.006,0,
300.475,1.43,
300.944,1.39,
301.413,0,
301.881,1.68,
302.35,1.54,
302.819,2.11,
303.288,0,
303.757,0,
304.225,2.28,
304.694,1.39,
305.163,1.89,
305.632,2.23,
306.1,1.62,
306.569,2.96,
307.037,0,
307.506,0,
307.974,1.79,
308.443,2.01,
308.911,2.7,
309.38,2.27,
309.848,2.05,
310.316,2.77,
310.785,0,
311.253,0,
311.721,2.14,
312.189,2.4,
312.657,1.93,
313.126,0,
313.594,2.51,
314.062,2.44,
314.53,2.28,
314.998,1.96,
315.466,2.86,
315.934,2.29,
316.402,2.67,
316.869,3.98,
317.337,3.19,
317.805,2.52,
318.273,2.17,
318.741,2.41,
319.208,2.88,
319.676,0,
320.144,2.61,
320.611,2.57,
321.079,2.41,
321.547,3.5,
322.014,2.29,
322.482,2.7,
322.949,0,
323.416,0,
323.884,2.77,
324.351,4.13,
324.819,2.37,
325.286,0,
325.753,0,
326.22,3.6,
326.688,3.6,
327.155,3.6,
327.622,2.26,
328.089,2.43,
328.556,2.24,
329.023,2.65,
329.49,3.62,
329.957,2.3,
330.424,2.52,
330.891,3.39,
331.358,0,
331.825,2.99,
332.292,2.83,
332.759,3.01,
333.225,3.28,
333.692,2.79,
334.159,2.29,
334.626,2.38,
335.092,3.42,
335.559,2.21,
336.026,0,
336.492,4.22,
336.959,3.65,
337.425,2.62,
337.892,3.05,
338.358,2.92,
338.824,2.85,
339.291,0,
339.757,2.53,
340.223,2.8,
340.69,0,
341.156,3.15,
341.622,2.46,
342.088,2.22,
342.555,2.83,
343.021,0,
343.487,2.8,
343.953,2.71,
344.419,0,
344.885,0,
345.351,3.02,
345.817,2.43,
346.283,2.92,
346.749,2.97,
347.214,0,
347.68,2.96,
348.146,2.65,
348.612,2.88,
349.077,0,
349.543,2.88,
350.009,2.68,
350.474,4.32,
350.94,4.33,
351.406,0,
351.871,2.67,
352.337,2.5,
352.802,0,
353.268,2.64,
353.733,2.94,
354.198,3.37,
354.664,2.55,
355.129,2.61,
355.594,2.97,
356.06,4.31,
356.525,0,
356.99,2.7,
357.455,2.66,
357.92,3.07,
358.385,3.06,
358.851,0,
359.316,2.5,
359.781,2.22,
360.246,4.29,
360.711,3.14,
361.175,3.15,
361.64,2.64,
362.105,2.73,
362.57,4.31,
363.035,2.52,
363.5,2.9,
363.964,2.55,
364.429,0,
364.894,0,
365.358,3.49,
365.823,0,
366.288,2.71,
366.752,0,
367.217,2.47,
367.681,2.39,
368.146,2.71,
368.61,2.88,
369.074,2.75,
369.539,2.47,
370.003,2.46,
370.467,0,
370.932,2.84,
371.396,2.53,
371.86,2.56,
372.324,0,
372.789,2.58,
373.253,2.51,
373.717,2.9,
374.181,3.73,
374.645,3,
375.109,2.66,
375.573,2.46,
376.037,3.24,
376.501,2.79,
376.965,2.69,
377.428,2.4,
377.892,0,
378.356,0,
378.82,3.16,
379.284,2.58,
379.747,0,
380.211,0,
380.675,3.01,
381.138,2.78,
381.602,2.78,
382.065,3.5,
382.529,0,
382.992,2.54,
383.456,2.38,
383.919,2.92,
384.383,0,
384.846,3.77,
385.309,2.74,
385.773,2.85,
386.236,0,
386.699,2.72,
387.162,3.54,
387.626,0,
388.089,0,
388.552,2.91,
389.015,3,
389.478,2.94,
389.941,3.37,
390.404,0,
390.867,2.6,
391.33,2.67,
391.793,4.31,
392.256,2.77,
392.719,2.66,
393.182,2.38,
393.644,0,
394.107,3.04,
394.57,2.6,
395.033,0,
395.495,0,
395.958,3.14,
396.42,0,
396.883,2.56,
397.346,2.96,
397.808,3.04,
398.271,2.63,
398.733,2.69,
399.196,2.7,
399.658,0,
400.12,0,
400.583,2.47,
401.045,2.64,
401.507,0,
401.97,3.37,
402.432,2.54,
402.894,2.6,
403.356,0,
403.818,0,
404.28,3.1,
404.743,2.72,
405.205,3.54,
405.667,2.48,
406.129,3.19,
406.591,2.49,
407.053,2.66,
407.514,0,
407.976,2.86,
408.438,2.4,
408.9,2.41,
409.362,0,
409.823,2.7,
410.285,2.69,
410.747,3.23,
411.209,0,
411.67,0,
412.132,2.58,
412.593,2.54,
413.055,3.35,
413.516,3.74,
413.978,3.14,
414.439,2.54,
414.901,0,
415.362,2.98,
415.824,2.98,
416.285,2.36,
416.746,2.66,
417.208,0,
417.669,3.46,
418.13,2.67,
418.591,2.64,
419.052,0,
419.514,0,
419.975,3.31,
420.436,2.35,
420.897,0,
421.358,3.24,
421.819,2.98,
422.28,2.89,
422.741,2.58,
423.202,0,
423.662,3.17,
424.123,2.32,
424.584,3.16,
425.045,2.86,
425.506,2.49,
425.966,2.35,
426.427,2.67,
426.888,2.99,
427.348,2.7,
427.809,2.84,
428.27,0,
428.73,2.59,
429.191,2.42,
429.651,3.28,
430.112,2.55,
430.572,3.57,
431.032,2.64,
431.493,3.55,
